hotel,fooditems
dine-hill-masab-tank,"['chicken', 'mutton', 'kebabs', 'biryani', 'kebab']"
diggin-anand-lok-delhi,"['lamb', 'gravy', 'sandwich', 'salad', 'fish', 'coffeee', 'pasta', 'mutton', 'cake', 'chicken', 'pizzas']"
falahaar-viman-nagar,['sandwich']
berys-chandrasekharpur-bhubaneshwar,"['chicken', 'sandwich', 'paneer', 'salad']"
eat-alley-ramanathapuram,"['cake', 'pasta', 'custard']"
burger-ka-baap-peelamedu,"['chicken', 'paneer']"
curious-life-coffee-roasters-c-scheme,"['omelette', 'sandwich', 'salad', 'groggy', 'coffeee', 'chicken', 'chicken sandwich']"
zoe-dlf-phase-3-gurgaon,"['chicken pie', 'chicken', 'sandwich', 'parfaits', 'salad']"
dalchini-curries-n-more-bajaj-nagar,"['chicken curry', 'gravy', 'salad', 'lemon pickle', 'fish', 'chapati', 'fish curry', 'chicken']"
the-bake-studio-college-road,['cake']
khushboo-restaurant-mall-road,"['paneer', 'shahi paneer']"
agashiye-the-house-of-mg-lal-darwaja,['allo']
chicken-man-panaji,"['cake', 'chicken', 'roasted chicken']"
10-downing-street-sector-5-salt-lake,"['lamb', 'tikka', 'mutton', 'kebab', 'kadai paneer', 'fish', 'chicken biryani', 'paneer', 'biryani', 'pasta', 'chicken', 'kebabs', 'chicken soup']"
brothers-dhaba-town-hall,"['makki ki roti', 'mango lassi', 'pasta', 'paneer', 'sambhar', 'chana masala', 'dal fry', 'sarson ka saag', 'pizzas', 'chutney']"
owara-anand-wali-goan,['misal pav']
narulas-restaurant-ashok-nagar-bhubaneshwar,"['chicken', 'kebabs', 'biryani', 'kebab']"
vintage-machine-gomti-nagar,"['cake', 'salad', 'coffeee']"
hakuna-matata-park-street-area,"['lamb', 'gravy', 'sandwich', 'peanut', 'paneer', 'the filling', 'white sauce', 'curd', 'mexican rice', 'pasta', 'lasange']"
le-plaisir-deccan-gymkhana,['pasta']
square-sayaji-hotel-vijay-nagar,"['pasta', 'peanut', 'fish', 'kebab']"
kebabs-curries-company-raja-park,['chicken']
nakli-dhaba-mayfair-lagoon-jayadev-vihar-bhubaneshwar,"['tikka', 'chicken', 'fish', 'kebab', 'paneer']"
the-back-room-sector-34,"['tikka', 'chicken', 'sandwich', 'momos', 'bread sandwich']"
the-diet-saga-by-sania-gupta-ludhiana-junction,['pasta']
sakhis-watz-kukin-ranjit-avenue,['chicken']
dilliwaala6-white-town,['paneer']
the-secret-barn-aliganj,['pasta']
pizza-express-ranjit-avenue,"['pasta', 'white sauce']"
mullapanthal-toddy-shop-tripunithura,"['fish curry', 'fish', 'chicken', 'appam']"
fusion-bay-fort-kochi,"['appam', 'allo', 'fish', 'pepper chicken', 'chicken roast', 'chicken']"
zodiac-nayapalli-bhubaneshwar,"['chicken', 'mutton', 'paneer']"
prems-graama-bhojanam-adyar,"['sambhar', 'curd', 'appam', 'coffeee', 'sambar']"
amaira-civil-lines,"['pasta', 'paneer']"
tribute-fateh-sagar,"['mutton', 'allo', 'palak chicken', 'cake', 'chicken', 'chutney']"
mocha-yn-road,"['paneer', 'coffeee']"
east-coast-at-madras-square-neelangarai,"['lamb', 'cake', 'chicken', 'pizzas', 'potato croquettes']"
lakshman-ki-bandi-begum-bazaar,['chutney']
charcoal-hitech-city,"['lamb', 'chicken', 'mutton', 'paneer']"
melange-capitol-residency-kanka,"['manchow soup', 'mutton', 'kebab', 'manchow', 'fish', 'pasta', 'biryani', 'cake', 'chicken', 'kheer']"
grandson-of-tunday-kababi-aminabad,"['chicken', 'mutton', 'kebabs', 'biryani', 'kebab']"
the-chaiwala-tollygunge,"['cake', 'pasta', 'chicken', 'chicken wings']"
fat-mans-cafe-reclamation-bandra-west,"['spanish omelette', 'chicken', 'salad', 'omelette']"
royal-durbvar-kankanady,"['tikka', 'kebab', 'onion raita', 'biryani', 'kebabs', 'custard']"
artjuna-anjuna,"['carrot cake', 'omelette', 'sandwich', 'eggs', 'coffeee', 'cookie', 'cake']"
biryani-mahal-golambar,"['mutton', 'biryani', 'kebab']"
eggjackly-food-truck,"['omelette', 'poha', 'sandwich']"
rollarappaa-episode-03-gomti-nagar,"['paneer', 'the filling']"
