hotel,fooditems
little-italy-vijay-nagar,"['pasta', 'salad']"
romas-kitchen-auroville,"['tikka', 'chicken']"
au-bon-pain-park-street-area,"['tikka', 'sandwich', 'chicken wings', 'salad', 'allo', 'chicken soup', 'chicken pie', 'paneer', 'coffeee', 'mayonnaise', 'eggs', 'cake', 'cookie', 'pasta', 'chicken', 'chicken sandwich', 'poha']"
nandos-sarabha-nagar,['chicken']
pizza-hut-doranda,['pizzas']
first-gear-cafe-malsi,"['sandwich', 'momos', 'coffeee']"
eastern-spice-college-road,"['paneer', 'kebab']"
moti-mahal-delux-tandoori-trail-kadru,"['tikka', 'mutton', 'kebab', 'chicken biryani', 'paneer', 'biryani', 'chicken', 'kebabs', 'paneer butter masala']"
the-centre-court-city-light,['cake']
panorama-swosti-premium-jayadev-vihar-bhubaneshwar,"['cake', 'eggs', 'mutton']"
spindrift-lalbagh,"['chicken wings', 'paneer', 'curd', 'pudding', 'biryani', 'pasta', 'chicken', 'pizzas', 'muslim biryani', 'custard']"
my-place-restaurant-ramanathapuram,"['cake', 'chicken', 'biryani']"
flour-beans-jaitpura,"['cake', 'pasta', 'cookie', 'coffeee']"
gfc-the-great-food-company-by-pass-road-south,"['chicken', 'gravy']"
brijwasi-chat-bhandar-ina-colony,['chutney']
rice-n-fish-kakkanad,"['tikka', 'kebab', 'salad', 'fish kebab', 'fish', 'biryani', 'fish curry']"
barbeque-ville-parijat-nagar,['chicken']
tales-spirits-senapati-bapat-road,['paneer']
that-baat-nirala-bazar,['salad']
la-terrasse-white-town,"['pasta', 'fish curry', 'fish', 'chicken']"
vinod-fast-food-fateh-sagar,"['sandwich', 'coffeee']"
surya-mahal-restaurant-mi-road,"['pasta', 'gravy', 'stew', 'paneer', 'chutney']"
chefs-restaurant-kodailbail,"['chicken', 'fish', 'chicken soup', 'kebab', 'custard']"
peep-kitchen-panaji,"['fish', 'chicken']"
smoke-on-water-connaught-place-new-delhi,"['fish', 'chicken wings', 'paneer', 'chicken', 'onion rings']"
wrapsto-patia-bhubaneshwar,"['chicken', 'roasted chicken']"
grandmamas-caf�-dadar-east,"['chicken', 'pizzas']"
on-the-go-race-course,"['tikka', 'mutton', 'kebab', 'fish', 'paneer', 'biryani', 'chicken', 'kebabs']"
shifus-momos-panampilly-nagar,"['chicken', 'paneer', 'momos', 'chutney']"
veranda-pali-hill-bandra-west,"['fish', 'chicken']"
fat-fish-baga,"['gravy', 'chicken curry', 'fish', 'chicken', 'fish curry']"
coral-kodailbail,"['chicken', 'appam']"
purohit-restaurant-mandi-mohalla,"['curd', 'chutney']"
whooppeezz-koramangala-7th-block,"['pasta', 'chicken', 'paneer', 'coffeee']"
food-exx-christian-basti,"['chicken', 'mutton', 'chicken biryani', 'biryani', 'momos']"
momo-house-vijay-nagar,"['manchow', 'chicken', 'chicken lollipop', 'momos']"
italize-mg-road,"['pasta', 'allo', 'chicken', 'pizzas', 'coffeee']"
tandoori-swaagath-vijay-nagar,"['tikka', 'chicken', 'paneer']"
cafe-thancos-vastrapur,"['pasta', 'sandwich', 'paneer', 'coffeee']"
zero-mile-restaurant-banquets-lalpur,['coffeee']
cafe-max-indiranagar,"['cake', 'chicken', 'salad', 'coffeee']"
nawras-seafood-restaurant-chittor-road,"['chicken curry', 'gravy', 'appam', 'tikka', 'fish', 'fish curry', 'chicken']"
tamasha-connaught-place-new-delhi,"['lamb', 'tikka', 'mutton', 'kebab', 'salad', 'fish', 'chicken biryani', 'paneer', 'momos', 'white sauce', 'biryani', 'mexican rice', 'pasta', 'chicken pizza', 'pizzas', 'kebabs', 'chicken', 'cake', 'stew']"
brunch-italiano-lalpur,['cake']
pind-velachery,"['tikka', 'gravy', 'paneer']"
spring-radisson-blu-plaza-ittige-gudu,"['omelette', 'mutton', 'salad', 'fish', 'paneer', 'biryani', 'pasta', 'chicken', 'eggs']"
dastarkhwan-lalbagh,"['kebab', 'chicken biryani', 'chicken masala', 'mughlai', 'paneer', 'biryani', 'chicken', 'kebabs']"
indian-coffee-house-vijay-nagar,"['cutlets', 'cutlet', 'coffeee', 'sambhar']"
pine-dine-hitech-city,"['tikka', 'chicken']"
hotel-junior-kuppanna-peelamedu,"['chicken curry', 'chicken', 'mutton', 'biryani']"
mahabelly,"['chicken curry', 'gravy', 'mutton', 'salad', 'appam', 'lemon pickle', 'fish', 'chicken biryani', 'masala prawns', 'chutney', 'sambhar', 'chicken fry', 'stew', 'chicken roast', 'fish curry', 'chicken', 'custard', 'prawn curry', 'coconut curry', 'biryani']"
coal-barbecues-velachery,"['cake', 'mutton']"
hunger-busters-siripuram-vizag,"['pasta', 'pizzas', 'biryani', 'sandwich']"
dunkin-donuts-mall-road,"['cake', 'coffeee']"
chapter-2-kankurgachi,"['lamb', 'mutton', 'chicken wings', 'fish', 'pepper chicken', 'pasta', 'stew', 'cake', 'chicken', 'chicken soup', 'custard']"
the-brick-house-bistro-anna-nagar-east,"['chicken', 'sandwich', 'paneer']"
brown-sugar-bakers-cafe-malviya-nagar,"['cake', 'pasta', 'sandwich', 'salad', 'coffeee']"
great-sagar-restaurant-shahgunj,"['chicken', 'biryani']"
shree-anandhaas-ramanathapuram,['chutney']
bon-gateau-ranjit-avenue,['cake']
green-leaf-gokulam,"['paneer', 'sambar', 'biryani']"
lucknow-lalpur,"['kebab', 'kheer', 'biryani', 'cake', 'chicken', 'kebabs']"
silver-streak-sahid-nagar-bhubaneshwar,['chicken']
hot-breads-sarabha-nagar,"['cake', 'pasta', 'salad']"
kudla-balmatta,"['fish curry', 'chicken', 'fish', 'tikka']"
kfc-civil-lines,['chicken']
marky-momos-raja-park,"['chicken', 'paneer', 'momos', 'chutney']"
mama-bhanja-piplod,['paneer']
hotel-maya-darshini-hampankatta,['biryani']
carnatic-cafe-new-friends-colony-new-delhi,"['appam', 'sambar', 'coffeee', 'the filling', 'tamarind rice', 'sambhar', 'curd', 'chutney']"
indian-coffee-house-mi-road,"['omelette', 'mutton', 'cutlets', 'chicken biryani', 'coffeee', 'cutlet', 'biryani', 'chicken']"
the-exotic-spices-mahmoorganj,"['tikka', 'chicken', 'mutton', 'biryani']"
cafe-bmg-balliwala,"['pasta', 'chicken']"
ende-nadu-heritage-town,['appam']
sankalp-maharana-pratap-nagar,"['allo', 'sambhar', 'chutney', 'appam']"
sigri-sadar,"['chicken', 'paneer']"
green-peppers-beltola,"['pasta', 'fish', 'pizzas', 'chicken', 'paneer']"
keyars-food-sahid-nagar-bhubaneshwar,['paneer']
bhoonas-restaurant-cidco,"['lamb', 'tikka', 'mutton', 'kebab', 'chicken biryani', 'paneer', 'biryani', 'chicken', 'kebabs']"
karai-restaurant-gandhinagar,"['chapati', 'fish', 'biryani', 'chicken']"
hotel-laadli-1-cidco,['coffeee']
naivedyam-hauz-khas-village-new-delhi,"['tomato rice', 'mutton', 'appam', 'sambar', 'fish', 'bisibele bhath', 'paneer', 'coffeee', 'paneer dosa', 'sambhar', 'curd', 'chicken', 'chutney']"
fishermans-cove-1-candolim,['fish']
the-kulcha-land-ranjit-avenue,"['paneer', 'salad', 'chutney']"
bean-here-civil-lines,['coffeee']
norfest-the-dhaba-gachibowli,"['kheer', 'mutton', 'paneer']"
cakebee-saibaba-colony,"['cake', 'chicken', 'sandwich', 'paneer']"
zaika-pal-heights-jayadev-vihar,"['mutton', 'kebab', 'fish', 'chicken', 'kebabs', 'chutney']"
turquoise-villa-vastrapur,"['cake', 'pasta', 'chicken', 'pizzas', 'chicken soup']"
rainbow-restaurant-pichola,"['pasta', 'chicken', 'pizzas']"
seven-vivanta-by-taj-guwahati-khanapara,"['fish', 'chicken', 'salad']"
kathi-kabab-roll-lower-parel,"['chicken', 'kebabs', 'paneer', 'kebab', 'the filling']"
the-fishermans-wharf-cavelossim,"['fish', 'prawns masala']"
nehars-the-mughlai-darbar-bhangagarh,"['mughlai', 'chicken', 'kebabs', 'kebab', 'tikka']"
the-coffee-bean-tea-leaf-sector-22,['coffeee']
confucius-christian-basti,"['lamb', 'chicken']"
good-co-coffee-balliwala,"['pasta', 'coffeee']"
southi-candolim,"['chicken', 'paneer', 'coffeee']"
aaoji-khhaoji-aundh,['paneer']
tandoor-restaurant-bar-usmanpura,"['tikka', 'chicken', 'biryani']"
ozen-restaurant-cafe-chandpole,['pasta']
raindrop-by-pass-road-north,"['peanut', 'paneer', 'salad']"
caf�-mrp-connaught-place-new-delhi,"['tikka', 'salad', 'kebab', 'kadai paneer', 'fish', 'paneer', 'chicken pizza', 'white sauce', 'stew', 'peanut', 'pasta', 'chicken', 'kebabs', 'paneer butter masala']"
baati-chokha-dashaswmedh-road,"['kheer', 'paneer', 'bati']"
caf�-b-you-radisson-blu-maligaon,['salad']
bukhaara-sarabha-nagar,"['tikka', 'paneer']"
smallys-resto-cafe-church-street,['paneer']
yolkshire-aundh,"['omelette', 'eggs', 'chicken']"
cheesinos-dharampeth,"['tikka', 'sandwich', 'paneer', 'coffeee']"
swaad-maharana-pratap-nagar,"['tikka', 'salad']"
the-great-kabab-factory-radisson-blu-hindpiri,"['mughlai', 'kebabs', 'kebab']"
haldirams-dharampeth,"['pasta', 'raj kachori', 'paneer']"
chapter-seven-sector-7,"['pasta', 'tikka', 'chicken', 'paneer', 'coffeee']"
the-dugout-bhawanipur,"['white sauce', 'paneer', 'pasta', 'onion rings', 'mexican rice', 'cake']"
the-fat-fannys-cafe-koramangala-1st-block,"['omelette', 'chicken', 'sandwich', 'coffeee']"
philotes-bodakdev,"['pasta', 'mexican rice']"
here-now-hsr,"['omelette', 'sandwich', 'salad', 'peanut', 'coffeee', 'pasta']"
kathi-roll-house-cidco,"['chicken', 'chicken roll']"
meraki-alkapuri,"['gravy', 'paneer']"
hotel-harsh-dhaba-kakkanad,"['paneer', 'biryani']"
mausam-munch-fraser-road-area,"['pasta', 'sandwich']"
blacksheepbistro,"['pasta', 'cake', 'chicken', 'chicken wings', 'fish']"
shahnama-hotel-jehan-numa-palace-tt-nagar,"['mutton', 'kebab', 'fish', 'pudding', 'biryani', 'chicken', 'kebabs', 'eggs']"
snackies-kankanady,"['chicken', 'mayonnaise']"
peshwa-college-road,['mutton']
roofdeck-restaurant-college-road,['chicken']
paratha-shop-sadar,['salad']
onesta-indiranagar,"['eggs', 'chicken', 'pizzas', 'roasted chicken', 'chicken pizza']"
the-tavern-restaurant-chironwali,"['paneer butter masala', 'paneer', 'chicken']"
antares-vagator,['lamb']
chill-n-grill-sadar,['paneer']
BelfranceLudhiana,"['cake', 'coffeee']"
kashi-art-cafe-fort-kochi,"['omelette', 'sandwich', 'salad', 'fish', 'coffeee', 'pasta', 'cake', 'chicken', 'chicken sandwich', 'hot sauce']"
mainland-china-kankanady,['chicken']
kathi-junction-vadiwadi,"['lamb', 'tikka', 'kebab', 'allo', 'paneer', 'chicken', 'kebabs', 'chutney']"
idli-express-bajaj-nagar,"['sandwich', 'kebab']"
ohris-rubaiyat-hitech-city,"['lamb', 'fish', 'mughlai', 'chicken', 'biryani']"
bopal-biryani-centre-bopal,"['mutton', 'kebab', 'chicken pie', 'biryani', 'cake', 'chicken', 'kebabs', 'chutney']"
cafe-jazz-candolim,"['cake', 'fish', 'prawn curry', 'chicken']"
new-mysore-refreshment-ittige-gudu,['coffeee']
51-xandari-harbour-mattancherry,"['fish', 'chicken']"
abs-absolute-barbecues-velachery,"['fish', 'appam']"
persian-darbar-byculla,"['mutton', 'biryani']"
TheBombaykery,"['eggs', 'coffeee', 'the filling', 'curd', 'cookie', 'cake']"
spice-garden-parijat-nagar,"['chicken', 'sandwich', 'pepper chicken']"
ustaad-miyaan-alkapuri,"['tikka', 'mutton', 'fish', 'mughlai', 'biryani', 'chicken']"
mi-casa-su-casa-c-scheme,"['pasta', 'pudding']"
china-valley-restaurant-swaroop-nagar,['momos']
mainland-china-vivekanand-nagar,"['fish', 'chicken']"
lakhori-haveli-dharampura-chandni-chowk-new-delhi,"['mughlai', 'chicken', 'kebabs', 'kheer', 'kebab']"
OdeonSocial,"['chilli paneer', 'kadai paneer', 'fish', 'chicken roll', 'chicken', 'lamb', 'mutton', 'peanut', 'coffeee', 'chicken shawarm', 'biryani', 'tikka', 'gravy', 'sandwich', 'chicken wings', 'eggs', 'chicken biryani', 'paneer', 'white sauce', 'stew', 'pasta', 'chutney', 'chilli chicken', 'salad', 'pudding', 'cake']"
dot-yum-hotel-aloft-coimbatore-singanallur,['pasta']
kaafila-sector-1-salt-lake,"['lamb', 'tikka', 'gravy', 'mutton', 'salad', 'kebab', 'fish kebab', 'jeera rice', 'dal fry', 'fish', 'mughlai', 'paneer', 'biryani', 'chicken', 'kebabs']"
the-dining-room-khajpura,['chicken']
kreative-kadhai-sri-krishnapuri,['coffeee']
plot-17-siripuram-vizag,"['pasta', 'sandwich']"
midnight-express-arera-colony,['chicken']
peacock-roof-top-restaurant-gopalbari,"['tikka', 'mutton', 'kebab', 'allo', 'paneer', 'coffeee', 'pasta']"
kwality-multi-cuisine-restaurant-tajganj,"['tikka', 'chicken', 'mutton', 'kebabs', 'kebab']"
burgrill-sector-8,"['gravy', 'mutton', 'chicken pie', 'chicken', 'momos']"
bikanervala-indira-nagar,['chutney']
bakers-lounge-cidco,"['cake', 'pasta']"
dosa-plaza-civil-lines,"['coffeee', 'paneer', 'sambar', 'chutney']"
jungli-moon-dance-restaurant-kanka,['chicken']
pancharatna-pathardi-phata,['chutney']
22nd-parallel-alkapuri,"['sandwich', 'appam', 'sambar', 'coffeee', 'sambhar', 'stew', 'pineapple kesari', 'chutney']"
big-brewsky-sarjapur-road,['fish']
kfc-tajganj,['chicken']
dunkin-donuts-malviya-nagar,"['mayonnaise', 'chicken', 'coffeee', 'the filling']"
olives-restaurant-bodakdev,"['pasta', 'biryani']"
rang-de-basanti-dhaba-sector-5-salt-lake,"['lamb', 'tikka', 'mutton', 'kebab', 'jeera rice', 'chicken masala', 'chicken biryani', 'paneer', 'paneer butter masala', 'biryani', 'chicken roll', 'chicken', 'kebabs', 'chutney']"
village-restuarant-kadri,"['chicken curry', 'chicken', 'mutton', 'fish']"
bade-bhai-ka-brothers-dhaba-town-hall,"['paneer', 'chutney']"
the-baker-brothers-sector-36,"['sandwich', 'salad', 'chicken biryani', 'chicken pie', 'coffeee', 'pasta', 'biryani', 'cake', 'chicken']"
the-k-factory-baner,"['cake', 'chicken', 'coffeee']"
sizzlers-ranch-lalbagh,"['lamb', 'chicken', 'eggs', 'fish']"
replay-tonk-road,"['kebab', 'paneer', 'coffeee', 'white sauce', 'pasta', 'chicken']"
bay-leaf-adajan-gam,"['kebabs', 'kebab']"
barbeque-nation-kacherippady,"['lamb', 'tikka', 'gravy', 'mutton', 'kebab', 'fish', 'paneer', 'shrimps', 'biryani', 'cake', 'fish curry', 'chicken', 'kebabs']"
theobroma-linking-road-bandra-west,"['cake', 'eggs', 'custard']"
mashup-fast-food-college-road,['chicken']
prana-harmu,"['pasta', 'chicken', 'sandwich']"
sigree-global-grill-science-city-area,"['kebab', 'fish', 'chicken', 'mutton', 'allo', 'peanut', 'chicken pie', 'coffeee', 'chicken teriyaki', 'biryani', 'peri peri prawns', 'kebabs', 'kheer', 'tikka', 'chicken wings', 'masala chicken', 'chicken biryani', 'paneer', 'pasta', 'pizzas', 'samosa chat', 'salad', 'fish kebab', 'cake', 'prawn curry']"
khichadiwala-pratap-nagar,['mango lassi']
chyna-tang-jagadamba-junction-vizag,['chicken']
jashan-vadiwadi,['mughlai']
raj-luxmi-aashiana,['cake']
al-chef-bakerganj,"['kebab', 'chicken biryani', 'chicken shawarm', 'biryani', 'chicken', 'pizzas']"
crumbs-sector-15,['cake']
bharawan-da-dhaba-town-hall,"['makki ki roti', 'paneer']"
lets-eat-arera-colony,"['allo', 'sandwich', 'biryani']"
barbeque-nation-tonk-road,"['tikka', 'roasted chicken', 'mutton', 'fish', 'paneer', 'cake', 'chicken']"
fivefatmonks,"['allo', 'lamb', 'chicken']"
bakers-lounge-civil-lines,['gravy']
friends-forever-civil-lines,"['chicken', 'sandwich', 'chicken sandwich']"
chai-wai-satellite,['sandwich']
underdoggs-sports-bar-grill-christian-basti,"['pasta', 'chicken', 'chicken wings', 'biryani']"
time2eat-mama-chicken-agra-cantt,"['tikka', 'mutton', 'kebab', 'chicken biryani', 'paneer', 'chicken lollipop', 'biryani', 'chicken']"
dragon-flames-sri-krishnapuri,"['chicken', 'momos']"
arsalan-1-park-circus-area,"['tikka', 'gravy', 'mutton', 'salad', 'kebab', 'chicken pie', 'allo', 'chicken biryani', 'ginger chicken', 'mughlai', 'paneer', 'haleem', 'biryani', 'chicken roll', 'pudding', 'chicken', 'kebabs', 'paneer butter masala', 'stew']"
hotel-sri-kamatchi-white-town,"['mutton', 'allo', 'fish', 'chicken biryani', 'biryani', 'chicken', 'sura puttu']"
pinch-of-spice-civil-lines,"['tikka', 'gravy', 'mutton', 'paneer', 'biryani', 'cake']"
rinku-punjabi-dhaba-attavar,"['chicken', 'paneer', 'biryani']"
wok-roll-candolim,"['peanut', 'fish']"
brewbakes-patia-bhubaneshwar,"['cake', 'pasta', 'chicken', 'coffeee', 'white sauce']"
hot-breads-mg-road,"['cake', 'sandwich']"
puzzles-the-cove-sector-5-panchkula,['allo']
natraj-restaurant-city-centre,"['curd', 'dal baati']"
little-italy-siripuram-vizag,"['pasta', 'pizzas', 'salad']"
indian-grill-room-golf-course-road-gurgaon,"['tikka', 'mutton', 'salad', 'kebab', 'fish', 'mughlai', 'paneer', 'biryani', 'pasta', 'chicken', 'kebabs']"
farzi-cafe-kalyani-nagar,"['mutton', 'appam', 'salad']"
mughal-pavilion-itc-mughal-tajganj,['pasta']
pizza-hut-civil-lines,"['chicken', 'chicken wings']"
the-kings-shawarmaa-bajaj-nagar,"['chicken', 'chicken shawarm']"
jamjar-diner-versova,"['pasta', 'sandwich']"
dominos-pizza-bhelupur,"['chicken', 'chicken wings', 'paneer']"
mavalli-tiffin-room-mtr-indiranagar,"['mango lassi', 'curd', 'sambar']"
the-cherry-tree-cafe-nirala-nagar,['cake']
the-joint-cafe-dlf-phase-4-gurgaon,"['lamb', 'sandwich', 'salad', 'white sauce', 'allo', 'peanut', 'spaghetti bolognese', 'coffeee', 'eggs', 'cake', 'cookie', 'cutlet', 'pasta', 'knives', 'chicken', 'fish', 'cutlets']"
tandoori-treats-1-asilmetta-vizag,"['manchow', 'manchow soup', 'chicken', 'biryani']"
cakes-coffee-pakhowal-road,"['pasta', 'coffeee']"
the-farm-semmancheri,"['chicken', 'curd', 'pizzas', 'paneer', 'fish']"
bricklane-indiranagar,['pasta']
krishna-dining-city-centre,['bati']
the-park-calangute,"['pasta', 'tikka', 'fish', 'pizzas']"
the-creative-kitchen-radisson-blu-hotel-vijay-nagar,"['cake', 'poha', 'chutney', 'sambar']"
rayars-mess-mylapore,"['pongal', 'chutney', 'sambar']"
mr-brown-tilak-nagar,['cake']
balle-balle-saibaba-colony,"['tikka', 'mughlai', 'biryani', 'paneer']"
swagath-restaurant-bar-sector-26,"['tikka', 'gravy', 'mutton', 'mughlai', 'paneer', 'biryani', 'chapati', 'chicken']"
lazeez-by-hyderabadi-delicacies-viman-nagar,"['chicken', 'mutton', 'chicken biryani', 'biryani']"
punjabi-rasoi-gachibowli,"['salad', 'kheer', 'chicken biryani', 'biryani', 'chicken', 'dum aloo']"
fat-panda-chinese-kitchen-candolim,['chicken']
scirocco-kapikad,"['pasta', 'pizzas']"
the-yellow-chilli-sarabha-nagar,['chicken']
desivibes,"['tikka', 'gravy', 'mutton', 'kebab', 'mughlai', 'paneer', 'shahi paneer', 'chicken', 'kebabs']"
tastyindya-kankarbagh,['sandwich']
saravana-bhavan-connaught-place-new-delhi,"['kebab', 'tomato rice', 'curd', 'coffeee', 'chicken', 'pongal', 'sambar', 'idiyapam', 'mysore pak', 'lemon rice', 'chutney', 'kebabs', 'appam', 'puris', 'paneer', 'stew', 'idli upma', 'paneer dosa', 'tomato chutney', 'sooji halwa', 'sambhar', 'cake']"
bistro1,"['sandwich', 'paneer', 'coffeee', 'cake', 'chicken', 'pan cake']"
crave-desserts-bakes-balmatta,"['cake', 'spicy potato', 'cookie', 'custard']"
the-food-studio-kitchen-bar-mulund-west,['chicken']
cremeux-cafe-bistro-panaji,"['cake', 'chicken', 'pizzas', 'paneer', 'coffeee']"
tanto-pizzeria-1-auroville,"['chicken', 'pizzas', 'chicken pizza']"
iscon-ganthiya-satellite,['chutney']
sanjha-chulha-ruby-hospital-area,['biryani']
salad-days,"['pasta', 'chicken', 'roasted chicken', 'salad', 'paneer']"
where-else-cafe-bar-viman-nagar,"['cake', 'chicken', 'fish']"
aam-aadmi-pakwaan-kamla-nagar-new-delhi,"['tikka', 'sandwich', 'sambar', 'paneer', 'sambhar', 'poha', 'paneer dosa']"
haunted-anna-nagar-east,"['tikka', 'fish', 'paneer', 'chicken', 'kadai paneer']"
star-light-baga,"['fish', 'gravy', 'biryani']"
foodgasm-reclamation-bandra-west,['poha']
the-omelette-house-sikandra,"['pasta', 'omelette']"
tea-friends-maharana-pratap-nagar,['cookie']
hotel-rajhans-sarafa-bazaar,['bati']
spice-kraft-ballygunge,"['lamb', 'tikka', 'gravy', 'mutton', 'chilli chicken', 'kebab', 'fish', 'pasta', 'papdi chaat', 'cake', 'biryani', 'devilled crab', 'chicken', 'kebabs', 'chutney']"
aureate-el-dorado-navrangpura,"['salad', 'allo', 'peanut', 'paneer', 'cookie', 'shahi paneer', 'pasta']"
nalpak-restaurant-gokulam,"['pineapple kesari', 'coffeee']"
momo-caf�-courtyard-by-marriott-1-satellite,"['biryani', 'salad']"
the-urban-terrace-gomti-nagar,"['tikka', 'fish', 'paneer', 'biryani', 'pasta', 'chicken']"
the-bridge-the-park-park-street-area,"['lamb', 'mutton', 'salad', 'fish', 'coffeee', 'cake', 'chicken', 'pizzas']"
mangala-restaurant-bar-kankanady,"['gravy', 'fish', 'chicken']"
shreemaya-celebration-rnt-marg,['paneer']
tims-bistro-race-course,"['lamb', 'fish', 'chicken', 'salad']"
maison-perumal-heritage-town,['prawn curry']
154-breakfast-club-koramangala-3rd-block,"['omelette', 'chicken', 'coffeee']"
citrus-cafe-lemon-tree-hotel-sayajigunj,"['omelette', 'salad']"
cafe-mestizo-baner,"['sandwich', 'pizzas', 'biryani', 'coffeee', 'paneer']"
flying-spaghetti-monster-waltair-uplands-vizag,"['lamb', 'pasta', 'pizzas']"
momoman-gurukul,"['chicken', 'momos']"
food-scouts-rajouri-garden-new-delhi,"['pasta', 'tikka', 'sandwich', 'paneer', 'white sauce']"
barbeque-nation-city-light,['cake']
barbeque-nation-rajpur,"['tikka', 'kebab', 'salad', 'paneer', 'cake', 'kebabs']"
pind-balluchi-tajganj,"['tikka', 'mutton', 'kebab', 'chicken masala', 'paneer', 'biryani', 'chicken']"
cocoa-tree-the-avenue-regent-pallimukku,"['sandwich', 'salad', 'eggs', 'cake', 'chicken', 'mayonnaise']"
4-seasons-uzan-bazaar,"['chicken', 'chicken roll']"
blue-spot-cafe-gulbai-tekra,['coffeee']
wadeshwar-fc-road,"['chutney', 'sambar', 'appam', 'coffeee']"
drgrill,"['tikka', 'chicken']"
breakfast-and-more-pan-bazaar,"['chicken', 'pizzas', 'chicken pizza']"
barbeque-nation-jayalakhsmipuram,['chicken']
ashokas-veg-restaurant-nirala-bazar,['cake']
waffle-house-vijay-nagar,"['cake', 'chicken', 'sandwich']"
theos-baner,['chicken']
theokaphe-bodakdev,"['sandwich', 'salad', 'paneer', 'mexican rice', 'pasta', 'pizzas']"
lal-bagh-panchwati,"['gravy', 'mutton']"
raas-leela-pichola,"['pasta', 'paneer', 'kebab', 'chilli sauce']"
the-groundbaking-co-vijay-nagar,['pizzas']
maharaja-restaurant-balmatta,"['fish curry', 'fish', 'chicken']"
citrus-caf�-lemon-tree-hotel-jakhan,"['cake', 'eggs', 'coffeee']"
orchard-rajpur,"['cake', 'chilli chicken', 'gravy', 'chicken', 'momos']"
raqabdaars-baner,"['tikka', 'gravy', 'kebab', 'chicken biryani', 'biryani', 'chicken']"
big-fat-momo-kacherippady,"['chicken', 'momos']"
palaaram-kakkanad,['chicken']
the-coffee-shop-saket-new-delhi,"['omelette', 'sandwich', 'salad', 'coffeee', 'pasta', 'cake', 'chicken', 'pizzas', 'chicken sandwich']"
mash-pallimukku,"['pasta', 'fish', 'chicken']"
double-roti-viman-nagar,"['eggs', 'fish', 'pizzas', 'chicken', 'sandwich']"
gurukripa-powai,"['allo', 'tikka', 'chicken', 'paneer']"
bombay-brasserie-nungambakkam,"['chicken', 'kebab', 'kebabs', 'paneer', 'fish']"
jameel-restaurant-peer-gate-area,"['biryani', 'stew']"
cafe-upper-crust-navrangpura,"['sandwich', 'allo', 'fish', 'coffeee', 'cake', 'pasta', 'chicken', 'pizzas', 'chicken sandwich']"
jonathans-kitchen-holiday-inn-express-suites-gachibowli,"['chicken', 'mutton']"
kaveri-restaurant-and-caterers-lalpur,['paneer']
truptee-restaurant-lakshmi-sagar-bhubaneshwar,['biryani']
hotel-radhakrishna-satpur,"['fish', 'chicken']"
cafe-cornucopia-vijay-nagar,"['pasta', 'cake', 'chicken', 'salad']"
the-bikers-cafe-model-town,['cake']
inferno-candolim,['chicken']
br-mathsya-t-nagar,"['pudina rice', 'curd', 'sambar', 'chapati']"
chennai-kitchen-christian-basti,"['sambhar', 'coffeee']"
11th-avenue-cafe-bistro-uzan-bazaar,"['pasta', 'chicken', 'sandwich', 'salad']"
4-seasons-kondapur,"['fish', 'mutton', 'biryani']"
kolkata-house-kondapur,"['chicken', 'mutton', 'fish']"
cream-centre-akashwani,"['pasta', 'biryani']"
the-forresta-kitchen-bar-gopalbari,"['tikka', 'mutton', 'chicken wings', 'kebab', 'biryani', 'pasta', 'chicken']"
the-village-rs-puram,['chutney']
pizza-hut-vadiwadi,['pizzas']
1944-restaurant-by-havmor-bodakdev,"['tikka', 'paneer', 'kebab']"
red-hot-chilli-pepper-ganeshguri,['chicken']
surguru-heritage-town,"['gravy', 'kanchipuram idlis', 'sambar', 'appam', 'coffeee', 'pongal']"
the-rumour-mill-sector-7,"['cake', 'pasta', 'chicken', 'white sauce']"
silver-streak-nayapalli-bhubaneshwar,"['manchow', 'manchow soup', 'chicken', 'momos']"
brown-sugar-greater-kailash-gk-1-new-delhi,"['tikka', 'kebab', 'sandwich', 'salad', 'momos', 'white sauce', 'chicken pizza', 'peanut', 'fish', 'chicken biryani', 'paneer', 'coffeee', 'chicken shawarm', 'cake', 'biryani', 'pasta', 'chicken', 'the filling', 'chicken sandwich', 'chutney']"
saladific,"['pasta', 'salad']"
veeraswami-sadar,"['chutney', 'sambar', 'coffeee']"
SaltWaterCafeBandra,"['pasta', 'fish']"
lunchpi-perungudi,"['tikka', 'paneer butter masala', 'paneer', 'chicken']"
zaffran-hotel-novotel-maharani-peta-vizag,['paneer']
caf�-peterdonuts-viman-nagar,"['omelette', 'sandwich', 'salad', 'manchow', 'fish', 'coffeee', 'pasta', 'chicken']"
sattviko-premium-dining-malviya-nagar,"['biryani', 'paneer']"
bercos-connaught-place-new-delhi,"['chilli chicken', 'lamb', 'gravy', 'momos', 'manchow', 'coconut curry', 'chicken soup', 'pasta', 'paneer', 'allo', 'cake', 'manchow soup', 'chicken', 'pizzas', 'fish']"
atrium-best-western-plus-levana-lalbagh,['coffeee']
thirstea-the-teateria-malviya-nagar,['pasta']
curry-me-up-7-bungalows,"['tikka', 'chicken', 'fish', 'chicken curry', 'biryani']"
vinayaka-mylari-doora,['chutney']
cafe-zinea-civil-lines,"['chicken', 'sandwich', 'pizzas']"
nagpal-pure-veg-food-sector-22,"['gravy', 'chana masala', 'paneer']"
wa-marathi-pathardi-phata,['sabudana wada']
